date,location,secchi
7/24/25,B,2.75
7/24/25,E,3
7/24/25,R,3.5
8/11/25,B,4.5
8/11/25,E,5
8/11/25,R,4
8/28/25,B,3.6
8/28/25,E,3.25
8/28/25,R,3.5
9/11/25,B,4
9/11/25,E,4
9/11/25,R,4
9/26/25,B,3.3
9/26/25,E,4
9/26/25,R,6.5
10/13/25,B,3.5
10/13/25,E,3.25
10/13/25,R,3
10/28/25,B,4.75
10/28/25,E,4
10/28/25,R,4
11/13/25,B,4.75
11/13/25,E,4
11/13/25,R,4
11/28/25,B,3
11/28/25,E,5.5
11/28/25,R,4.5
12/17/25,B,4
12/17/25,E,3.5
12/17/25,R,5.6
