"","date","location","est_secchi_stringent","mission"
"402","1993-08-09","D",2.62388229370117,"LANDSAT_5"
"403","1993-08-09","E",2.50042963027954,"LANDSAT_5"
"404","1993-08-09","F",3.0102846622467,"LANDSAT_5"
"405","1993-08-09","G",2.97457194328308,"LANDSAT_5"
"406","1993-08-09","I",3.33876252174377,"LANDSAT_5"
"407","1993-08-09","K",3.56667327880859,"LANDSAT_5"
"408","1993-08-09","M",2.96407532691956,"LANDSAT_5"
"409","1993-08-09","R",3.21868705749512,"LANDSAT_5"
"410","1993-10-12","J",3.22969031333923,"LANDSAT_5"
"411","1993-10-12","R",3.10773587226868,"LANDSAT_5"
"412","1993-11-13","A",2.6986665725708,"LANDSAT_5"
"413","1993-11-13","B",2.66845321655273,"LANDSAT_5"
"414","1993-11-13","C",2.31442642211914,"LANDSAT_5"
"415","1993-11-13","D",2.71168541908264,"LANDSAT_5"
"416","1993-11-13","E",2.72006487846375,"LANDSAT_5"
"417","1993-11-13","F",2.60554575920105,"LANDSAT_5"
"418","1993-11-13","G",2.74857831001282,"LANDSAT_5"
"419","1993-11-13","H",2.57253885269165,"LANDSAT_5"
"420","1993-11-13","I",2.60075163841248,"LANDSAT_5"
"421","1993-11-13","K",2.72006487846375,"LANDSAT_5"
"422","1993-11-13","L",2.48510909080505,"LANDSAT_5"
"423","1993-11-13","M",2.49612092971802,"LANDSAT_5"
"424","1993-11-13","N",2.69278407096863,"LANDSAT_5"
"425","1993-11-13","O",2.63626432418823,"LANDSAT_5"
"426","1993-11-13","P",2.68240094184875,"LANDSAT_5"
"427","1993-11-13","Q",2.68240094184875,"LANDSAT_5"
"428","1993-11-13","R",2.67187213897705,"LANDSAT_5"
"429","1994-02-01","B",3.69766974449158,"LANDSAT_5"
"430","1994-02-01","E",3.8652720451355,"LANDSAT_5"
"431","1994-02-01","F",3.87544012069702,"LANDSAT_5"
"432","1994-02-01","G",4.29341840744019,"LANDSAT_5"
"433","1994-02-01","H",3.87426519393921,"LANDSAT_5"
"434","1994-02-01","I",3.95363283157349,"LANDSAT_5"
"435","1994-02-01","J",4.24757719039917,"LANDSAT_5"
"436","1994-02-01","K",4.1375560760498,"LANDSAT_5"
"437","1994-02-01","L",3.67518949508667,"LANDSAT_5"
"438","1994-02-01","M",4.01214933395386,"LANDSAT_5"
"439","1994-02-01","N",4.33722925186157,"LANDSAT_5"
"440","1994-02-01","P",4.01214933395386,"LANDSAT_5"
"441","1994-02-01","Q",3.95540738105774,"LANDSAT_5"
"442","1994-02-01","R",3.9998197555542,"LANDSAT_5"
"443","1994-02-17","B",4.06395626068115,"LANDSAT_5"
"444","1994-02-17","C",3.65100336074829,"LANDSAT_5"
"445","1994-02-17","F",3.27876973152161,"LANDSAT_5"
"446","1994-02-17","K",4.05248785018921,"LANDSAT_5"
"447","1994-03-05","A",3.99925589561462,"LANDSAT_5"
