date,location,mission,est_secchi_stringent,est_secchi_verystringent,est_secchi_highsecchi,est_secchi_stepwise
2022-08-25,A,LANDSAT_8,2.5719246864318848,2.767517328262329,2.9517924785614014,1.0747428397710548
2022-08-25,B,LANDSAT_8,2.727722644805908,2.935410737991333,2.986381769180298,0.8152651642324853
2022-08-25,C,LANDSAT_8,2.575943946838379,2.768977403640747,2.995699167251587,0.4698512333321989
2022-08-25,D,LANDSAT_8,2.555992603302002,2.768977403640747,2.995699167251587,0.727055374608933
2022-08-25,E,LANDSAT_8,2.8089871406555176,2.849411964416504,3.063175916671753,1.0675712006090492
2022-08-25,F,LANDSAT_8,2.574367046356201,2.768977403640747,2.9517924785614014,0.3736133727567858
2022-08-25,G,LANDSAT_8,2.588036060333252,2.978445291519165,3.0784852504730225,1.0701130703172275
2022-08-25,H,LANDSAT_8,2.555992603302002,2.768977403640747,2.9517924785614014,0.6654710336336638
2022-08-25,I,LANDSAT_8,2.7361154556274414,2.804779529571533,3.0177547931671143,1.3415531554242928
2022-08-25,J,LANDSAT_8,2.6394143104553223,2.710635185241699,2.9356956481933594,1.5321757987529963
2022-08-25,K,LANDSAT_8,2.7998194694519043,2.849411964416504,3.132113218307495,1.3516379841325308
2022-08-25,L,LANDSAT_8,2.547232151031494,2.8531272411346436,2.9779210090637207,1.2322961354235331
2022-08-25,M,LANDSAT_8,2.779634475708008,2.804779529571533,3.132113218307495,1.4854971269822337
2022-08-25,N,LANDSAT_8,2.6414694786071777,2.7167952060699463,2.95975399017334,0.9973541796630572
2022-08-25,O,LANDSAT_8,2.65618896484375,2.710635185241699,2.9379982948303223,1.195053968847271
2022-08-25,P,LANDSAT_8,2.655707359313965,2.849411964416504,3.034578561782837,1.2463017502460967
2022-08-25,Q,LANDSAT_8,2.7511444091796875,2.849411964416504,3.132113218307495,1.0510402298330248
2022-08-25,R,LANDSAT_8,2.894282341003418,2.849411964416504,2.970284938812256,1.589338270281583
2022-09-10,A,LANDSAT_8,2.7643659114837646,2.98351788520813,3.0072555541992188,2.4751195600921014
2022-09-10,B,LANDSAT_8,2.7517879009246826,2.8211019039154053,2.9443905353546143,1.7335270789959494
2022-09-10,C,LANDSAT_8,2.7123372554779053,2.761671304702759,2.9443905353546143,1.4802974432159943
2022-09-10,D,LANDSAT_8,2.7993624210357666,2.7597625255584717,2.9765028953552246,2.3864812856577706
2022-09-10,E,LANDSAT_8,2.714629650115967,2.985426664352417,3.0072555541992188,2.4084351824147787
2022-09-10,F,LANDSAT_8,2.753654718399048,2.7056710720062256,2.952521562576294,2.204493797085966
2022-09-10,H,LANDSAT_8,2.6727161407470703,2.7056710720062256,2.944275140762329,1.847219614775971
2022-09-10,I,LANDSAT_8,2.9724831581115723,3.0710365772247314,2.9267797470092773,2.724418969477932
2022-09-10,J,LANDSAT_8,2.6774024963378906,3.0710365772247314,3.0129663944244385,2.333376117912269
2022-09-10,K,LANDSAT_8,2.733004093170166,2.985426664352417,3.004633665084839,2.27157957674008
2022-09-10,M,LANDSAT_8,2.6702425479888916,2.761671304702759,2.9286556243896484,1.400495747102783
2022-09-10,N,LANDSAT_8,2.6786599159240723,2.985426664352417,3.0072555541992188,2.0754479811108175
2022-09-10,O,LANDSAT_8,2.738924503326416,2.985426664352417,3.0630037784576416,1.8795086580408866
2022-09-10,P,LANDSAT_8,2.7526814937591553,2.761671304702759,2.9992740154266357,1.9866639069748273
2022-09-10,Q,LANDSAT_8,2.7168571949005127,2.7056710720062256,2.9992740154266357,2.12827384985389
2022-09-10,R,LANDSAT_8,3.315716028213501,3.282123565673828,3.12884259223938,3.046270407766371
2022-09-26,A,LANDSAT_8,3.228140354156494,3.8170249462127686,3.753025531768799,3.7278724813022555
2022-09-26,B,LANDSAT_8,3.365009307861328,3.428804874420166,4.035771369934082,3.6513262031350218
2022-09-26,C,LANDSAT_8,3.493903398513794,3.428804874420166,4.153383255004883,3.667994883140813
2022-09-26,D,LANDSAT_8,3.14746356010437,3.6708099842071533,3.794468641281128,3.3157220804032628
2022-09-26,E,LANDSAT_8,2.9749739170074463,3.6708099842071533,3.9903464317321777,3.072836434047038
2022-09-26,F,LANDSAT_8,3.226052761077881,3.428804874420166,3.860025644302368,3.63361286020094
2022-09-26,G,LANDSAT_8,2.701855182647705,2.991912364959717,3.3995749950408936,2.5330066651059457
2022-09-26,H,LANDSAT_8,3.1025843620300293,3.087985038757324,3.4961814880371094,3.3348497154210444
2022-09-26,I,LANDSAT_8,3.2552223205566406,3.387190818786621,4.0490312576293945,3.6888820981859505
2022-09-26,J,LANDSAT_8,3.770707130432129,3.6859283447265625,3.9514217376708984,3.948122148145127
2022-09-26,K,LANDSAT_8,3.0833888053894043,3.0515356063842773,3.4296162128448486,3.019947607546306
2022-09-26,L,LANDSAT_8,2.3911080360412598,2.9658803939819336,3.141605854034424,2.0649777866513395
2022-09-26,M,LANDSAT_8,2.7118277549743652,3.1761810779571533,3.671971082687378,2.927813707683703
2022-09-26,N,LANDSAT_8,3.1236815452575684,3.2234714031219482,3.8956973552703857,3.3411519412495982
2022-09-26,O,LANDSAT_8,2.6998775005340576,2.933340311050415,3.362215757369995,2.9510981646872425
2022-09-26,P,LANDSAT_8,3.1000404357910156,3.387190818786621,4.0424675941467285,3.5545895564282413
2022-09-26,Q,LANDSAT_8,3.1017954349517822,3.659938335418701,4.2988128662109375,3.326134050984547
2022-09-26,R,LANDSAT_8,3.463756799697876,3.4889519214630127,4.294232368469238,3.8648654007464485
2022-10-12,B,LANDSAT_8,3.2452621459960938,3.5239343643188477,3.722978353500366,3.4653634844676264
2022-10-12,C,LANDSAT_8,3.0968077182769775,3.090409517288208,3.1975340843200684,3.20466086423219
2022-10-12,D,LANDSAT_8,3.2220840454101562,3.574091911315918,3.5751774311065674,3.438870513221795
2022-10-12,E,LANDSAT_8,3.6426656246185303,4.474593162536621,3.9163548946380615,3.964908766538026
2022-10-12,F,LANDSAT_8,3.2432870864868164,4.049317836761475,3.7043683528900146,3.7167199182821657
2022-10-12,G,LANDSAT_8,3.7203450202941895,4.326181411743164,3.74580979347229,3.9475754578483753
2022-10-12,H,LANDSAT_8,3.8016698360443115,4.716808795928955,4.117781162261963,3.9393057613427254
2022-10-12,I,LANDSAT_8,4.187376022338867,4.791458606719971,4.020256519317627,4.0208331338193295
2022-10-12,K,LANDSAT_8,4.023874759674072,4.716808795928955,4.102291584014893,3.9293501728715285
2022-10-12,L,LANDSAT_8,2.7858285903930664,2.7585620880126953,3.223496437072754,2.5752939774076906
2022-10-12,M,LANDSAT_8,4.1593217849731445,4.791458606719971,4.074345588684082,4.0549040993766985
2022-10-12,P,LANDSAT_8,3.3472304344177246,3.450310468673706,3.4072065353393555,3.496972636921979
2022-10-12,R,LANDSAT_8,4.417410850524902,4.791458606719971,4.074345588684082,4.133676901216442
2022-10-28,A,LANDSAT_8,3.3025124073028564,3.531046152114868,3.3905961513519287,3.6695772983950126
2022-10-28,B,LANDSAT_8,3.0164051055908203,2.9893922805786133,3.0550615787506104,3.397402643705887
2022-10-28,C,LANDSAT_8,2.997612476348877,3.118983030319214,2.9521679878234863,3.19808752754458
2022-10-28,D,LANDSAT_8,3.0308868885040283,3.629761219024658,3.420501708984375,3.5701751432174906
2022-10-28,E,LANDSAT_8,3.317246913909912,3.3424954414367676,3.328728199005127,3.6610217009411046
2022-10-28,F,LANDSAT_8,2.9844608306884766,2.9893922805786133,3.053222417831421,3.4777120917274567
2022-10-28,G,LANDSAT_8,3.1377785205841064,3.236480236053467,2.9762370586395264,3.297313283013555
2022-10-28,H,LANDSAT_8,3.1584582328796387,3.4744722843170166,3.3508388996124268,3.5951952058000374
2022-10-28,I,LANDSAT_8,3.2067699432373047,3.372296094894409,3.2856640815734863,3.543720318005955
2022-10-28,K,LANDSAT_8,3.1300177574157715,3.583754539489746,3.3590006828308105,3.7050767696713334
2022-10-28,L,LANDSAT_8,3.142939329147339,3.531046152114868,3.647706985473633,3.575893074479366
2022-10-28,M,LANDSAT_8,3.1571853160858154,3.765580415725708,3.5682804584503174,3.6380136701915764
2022-10-28,N,LANDSAT_8,3.193211078643799,3.9765915870666504,3.683168649673462,3.7182610268969047
2022-10-28,O,LANDSAT_8,2.9841156005859375,3.2723548412323,3.283942461013794,3.5453076417753366
2022-10-28,P,LANDSAT_8,3.1253788471221924,3.028188943862915,3.7107253074645996,3.692839608560233
2022-10-28,Q,LANDSAT_8,2.9856996536254883,3.263953924179077,3.2305355072021484,3.649422779433199
2022-10-28,R,LANDSAT_8,3.1464486122131348,3.2411422729492188,3.3115921020507812,3.7481442746190123
2022-11-13,G,LANDSAT_8,3.2199783325195312,4.205768585205078,3.5488157272338867,2.899507889744086
2022-11-13,I,LANDSAT_8,2.550994396209717,3.48136830329895,2.6448731422424316,2.5233184973884604
2022-11-13,J,LANDSAT_8,4.810300827026367,5.525744438171387,4.522023677825928,4.665125616858831
2022-11-13,L,LANDSAT_8,3.2299747467041016,3.773416757583618,2.8073084354400635,3.269392814724687
2022-11-13,R,LANDSAT_8,3.570005178451538,4.205768585205078,3.528594493865967,2.997079866416756
2022-11-29,A,LANDSAT_8,2.8149940967559814,2.848538398742676,3.3529880046844482,1.5056845295939363
2022-11-29,B,LANDSAT_8,2.710402488708496,3.504589796066284,3.2919442653656006,3.256437995324959
2022-11-29,C,LANDSAT_8,2.706029176712036,3.504589796066284,3.1913504600524902,3.2939676813201975
2022-11-29,D,LANDSAT_8,2.821965217590332,3.1008012294769287,3.1365184783935547,3.3668045055198452
2022-11-29,E,LANDSAT_8,3.002303123474121,3.1045167446136475,3.2337756156921387,3.4193813807044084
2022-11-29,F,LANDSAT_8,2.8884425163269043,3.2219114303588867,3.2539854049682617,3.5659846867509004
2022-11-29,G,LANDSAT_8,3.0719692707061768,3.0261075496673584,3.190620183944702,3.816145670593745
2022-11-29,H,LANDSAT_8,2.979776382446289,3.360626697540283,3.208240509033203,3.5502727660182747
